candidate,kind,fixed,groups,active,observations,q,r,iterations,converged,objective,negative_fraction,max_state_variance,seconds
D-ref,D,True,,911,253258,,0.11553629458442488,2,True,-293208.3396629338,0.06816717757341507,0.0,0.09307487499999922
N-ref,O,True,,143,39754,,0.05973950553088418,2,True,-72240.6623129681,0.015371629126127327,0.0,0.07571225000000048
N-ref,r,True,,525,86448,,0.016138757098614,3,True,-270209.08771639504,0.11037730939370284,0.0,0.032990250000001
D0,D,False,,911,253258,0.0004903679475154901,0.1071669562015951,200,False,96646.53835826044,0.13337627911798244,0.013367475328817708,5.644145999999999
N0,O,False,,143,39754,0.000304742636806584,0.052172110303788606,200,False,1146.9979603056565,0.022113376871473633,0.00798858643250439,5.552966458999997
N0,r,False,,525,86448,0.0001136360201134969,0.014972550712395536,200,False,-48182.77475779303,0.1959094457455113,10000.034545350267,2.7557625409999993
D1,D,False,evac,911,253258,0.00043717945378297875,0.10609596057639353,200,False,95075.71385991474,0.1331356346350349,0.012139544636050664,7.146778542
N1,O,False,evac,143,39754,0.0002845088890180339,0.05197586259426697,200,False,1021.2568327772549,0.02485117064285397,0.00753238990231022,6.707573042
N1,r,False,evac,525,86448,0.00011368112222443447,0.01497209549087511,200,False,-48183.13664902815,0.19873536299765807,10000.034559061227,3.295950665999996
D2,D,False,water,911,253258,0.0004157850693678541,0.10672999974914137,200,False,95457.15181383128,0.13310971907533284,0.011665366036509903,7.222435707999999
N2,O,False,water,143,39754,0.0002917808879895334,0.052064803320213925,200,False,1073.180274204342,0.022955632561790097,0.007696938712170576,6.643136833
N2,r,False,water,525,86448,0.00011362650401914344,0.01497250987475056,200,False,-48183.1465658182,0.196023939630497,10000.034542457113,3.3132781249999965
D3,D,False,rain,911,253258,0.0004817081614350339,0.10664227228994813,200,False,95969.62940228809,0.12542945784649104,0.013160559721950607,5.827231999999995
N3,O,False,rain,143,39754,0.00030624585622425027,0.052148243139483345,200,False,1142.1942879880655,0.02001236542420069,0.008021535917021214,6.096311583000002
N3,r,False,rain,525,86448,0.00011363556717395662,0.014972553434415363,200,False,-48182.778150288905,0.20905542544886807,10000.034545212577,3.1345346659999933
D4,D,False,snow,911,253258,0.0004745075850976364,0.10683783474076729,200,False,96119.28641496756,0.13286907459238526,0.013001816236841919,6.000067333000004
N4,O,False,snow,143,39754,0.0003044367541223299,0.0521737277303142,200,False,1146.7039066278069,0.02196528795889052,0.007981806119711563,5.897612084000002
N4,r,False,snow,525,86448,0.00011363720920304208,0.014972543810309514,200,False,-48182.7716909461,0.2154670830080666,10000.034545711358,3.101472874999999
D5,D,False,"evac,water,rain",911,253258,0.00038287793622240966,0.10519414318374289,200,False,93540.2518590761,0.12534245561034846,0.010882926394635681,8.965630707999992
D6,D,False,"evac,water,rain,snow",911,253258,0.00037130061182791616,0.10484792170246945,200,False,93010.93503086946,0.12547388452026598,0.010610980148506676,10.200295167000007
N6,O,False,"evac,water,rain,snow",143,39754,0.00028474013599856046,0.05192258532499989,200,False,1001.9862132348788,0.02285382143438921,0.007536363140762716,9.167560916
N6,r,False,"evac,water,rain,snow",525,86448,0.00011366735524854702,0.014972155555765337,200,False,-48183.30959214687,0.19846994535519125,10000.034554875776,4.7778856669999925
D7,D,False,"evac,shelter",911,253258,0.00043703007376760746,0.10603303909865039,200,False,94964.86640046998,0.13315784797192234,0.012134843567727975,8.152356667000006
N7,O,False,"evac,shelter",143,39754,0.00028347221490655056,0.051978827065463945,200,False,1019.3072923123174,0.024803041746264458,0.007509267729409394,7.583299791999991
N7,r,False,"evac,shelter",525,86448,0.00011354091065400976,0.014971845054151717,200,False,-48186.673410969066,0.21065833983866772,10000.03451643698,4.048722166999994
D8,D,False,"evac,water,rain,snow,shelter",911,253258,0.0003709331505896564,0.10478069349777297,200,False,92909.62967216283,0.12566640010662403,0.010601212573405312,9.827454791999997
N8,O,False,"evac,water,rain,snow,shelter",143,39754,0.00028375047687753755,0.05192562116734152,200,False,1000.1986400409572,0.02279643698076325,0.007514296608207364,7.657894499999998
N8,r,False,"evac,water,rain,snow,shelter",525,86448,0.00011352913404941641,0.014971899960292452,200,False,-48186.81574089217,0.20961748633879781,10000.03451285648,6.936647500000021
