experiment,area,n_cells,cell_share_pct,n_days,diag_sse,diag_sse_share_pct,diag_zero_sse,diag_sse_vs_zero,diag_rmse_daily_mean,diag_nrmse,off_origin_sse,off_origin_sse_share_pct,off_origin_zero_sse,off_origin_sse_vs_zero,off_origin_rmse_daily_mean,off_origin_nrmse,off_destination_sse,off_destination_sse_share_pct,off_destination_zero_sse,off_destination_sse_vs_zero,off_destination_rmse_daily_mean,off_destination_nrmse
EXP04,七尾市,123,8.333,14,44503.631853,41.277,8105906.874912,0.00549,4.976468,0.187297,470.968297,49.717,6529.127785,0.072133,0.013555,0.77018,462.327171,48.804,6484.453594,0.071298,0.013436,0.763382
EXP04,珠洲市,107,7.249,14,7638.334358,7.085,294990.484967,0.025893,2.226123,0.083783,94.860567,10.014,467.442356,0.202935,0.006414,0.364426,94.851446,10.013,467.442356,0.202916,0.006414,0.364408
EXP04,穴水町,63,4.268,14,4993.95248,4.632,278526.047175,0.01793,2.299676,0.086552,26.598473,2.808,95.471278,0.278602,0.004271,0.242691,27.234632,2.875,96.336992,0.282702,0.004348,0.247037
EXP04,能登町,89,6.03,14,7475.195586,6.933,467258.975961,0.015998,2.4323,0.091543,11.226372,1.185,11.504891,0.975791,0.002324,0.132036,11.23761,1.186,11.504891,0.976768,0.002325,0.132121
EXP04,輪島市,154,10.434,14,11866.079,11.006,1613918.879626,0.007352,2.28617,0.086043,78.793281,8.318,869.438587,0.090625,0.004905,0.278721,77.822652,8.215,868.572873,0.089598,0.004878,0.277183
EXP04,志賀町,85,5.759,14,12431.89398,11.531,758694.561194,0.016386,3.193205,0.120181,77.456138,8.176,319.146985,0.242697,0.006517,0.370267,77.457187,8.177,319.146985,0.242701,0.006517,0.37027
EXP04,中能登町,20,1.355,14,10399.865104,9.646,1168697.458028,0.008899,5.977671,0.224978,164.867695,17.404,751.216246,0.219468,0.019761,1.122789,176.023675,18.582,797.797775,0.220637,0.020413,1.159823
EXP04,羽咋市,20,1.355,14,6346.908427,5.887,276722.382934,0.022936,4.654134,0.175165,22.527557,2.378,40.603124,0.554823,0.007185,0.408253,20.344007,2.148,38.695785,0.525742,0.006743,0.383142
EXP04,対象8市町外・富山県,815,55.217,14,2161.381871,2.005,85752.703066,0.025205,0.41291,0.01554,0.006099,0.001,0.0,,1.7e-05,0.000947,0.006099,0.001,0.0,,1.7e-05,0.000947
EXP04,全体,1476,100.0,14,107817.24266,100.0,13050468.367863,0.008262,2.270659,0.08546,947.304479,100.0,9083.951252,0.104283,0.005565,0.316168,947.304479,100.0,9083.951252,0.104283,0.005565,0.316168
